Date,Open,High,Low,Close,Adj Close,Volume
2018-07-16,22.200001,22.280001,21.750000,22.100000,22.100000,375700
2018-07-17,22.100000,22.450001,21.950001,22.450001,22.450001,260700
2018-07-18,22.500000,22.900000,22.250000,22.750000,22.750000,511300
2018-07-19,22.799999,23.100000,22.650000,23.000000,23.000000,404700
2018-07-20,22.950001,23.250000,22.850000,23.250000,23.250000,392100
2018-07-23,23.400000,23.600000,23.150000,23.500000,23.500000,301100
2018-07-24,23.799999,24.350000,23.100000,23.500000,23.500000,760700
2018-07-25,23.600000,24.650000,23.400000,24.450001,24.450001,623700
2018-07-26,24.500000,24.730000,23.799999,24.500000,24.500000,564900
2018-07-27,24.450001,24.450001,23.049999,23.350000,23.350000,525700
2018-07-30,23.850000,23.850000,22.600000,23.000000,23.000000,992900
2018-07-31,23.000000,23.379999,22.650000,23.200001,23.200001,724700
2018-08-01,23.200001,24.500000,23.150000,24.200001,24.200001,1093800
2018-08-02,23.100000,25.200001,22.350000,24.100000,24.100000,1404900
2018-08-03,24.250000,24.520000,22.900000,23.549999,23.549999,596400
2018-08-06,23.450001,24.200001,23.209999,24.100000,24.100000,494400
2018-08-07,24.200001,24.500000,23.900000,24.100000,24.100000,660300
2018-08-08,24.049999,24.299999,23.799999,23.850000,23.850000,445700
2018-08-09,23.950001,24.299999,23.950001,24.049999,24.049999,252400
2018-08-10,23.900000,24.200001,23.799999,24.030001,24.030001,291500
2018-08-13,24.000000,24.250000,23.549999,23.799999,23.799999,265700
2018-08-14,23.750000,24.100000,23.400000,24.049999,24.049999,383400
2018-08-15,23.799999,24.000000,23.500000,23.750000,23.750000,328700
2018-08-16,23.950001,24.780001,23.900000,24.500000,24.500000,634700
2018-08-17,24.549999,25.000000,24.430000,24.950001,24.950001,382800
2018-08-20,25.049999,25.200001,24.850000,24.950001,24.950001,437600
2018-08-21,24.850000,25.200001,24.600000,24.700001,24.700001,346600
2018-08-22,24.750000,25.000000,24.549999,24.850000,24.850000,319100
2018-08-23,24.500000,25.080000,24.500000,24.799999,24.799999,312700
2018-08-24,24.950001,26.299999,24.799999,26.000000,26.000000,601900
2018-08-27,26.450001,26.750000,26.200001,26.350000,26.350000,461000
2018-08-28,26.450001,26.500000,26.150000,26.400000,26.400000,352700
2018-08-29,26.500000,26.549999,26.129999,26.299999,26.299999,314500
2018-08-30,26.400000,26.900000,26.400000,26.650000,26.650000,384300
2018-08-31,26.549999,26.900000,26.400000,26.900000,26.900000,262200
2018-09-04,27.100000,27.299999,26.799999,27.250000,27.250000,439600
2018-09-05,27.150000,27.200001,25.750000,26.549999,26.549999,411600
2018-09-06,26.549999,26.850000,26.150000,26.700001,26.700001,443700
2018-09-07,26.549999,27.230000,26.350000,26.450001,26.450001,425000
2018-09-10,26.600000,26.600000,26.049999,26.400000,26.400000,229400
2018-09-11,26.299999,26.750000,26.049999,26.400000,26.400000,512600
2018-09-12,26.250000,26.650000,25.400000,26.600000,26.600000,354200
2018-09-13,26.700001,26.980000,26.350000,26.650000,26.650000,304000
2018-09-14,26.700001,27.400000,26.309999,27.100000,27.100000,448500
2018-09-17,27.150000,27.299999,26.549999,26.750000,26.750000,329500
2018-09-18,26.549999,27.400000,26.500000,27.200001,27.200001,411400
2018-09-19,27.150000,27.150000,25.930000,26.100000,26.100000,435300
2018-09-20,26.350000,26.650000,25.860001,26.600000,26.600000,286200
2018-09-21,26.600000,26.650000,25.650000,25.700001,25.700001,668900
2018-09-24,25.549999,25.900000,24.559999,25.750000,25.750000,294800
2018-09-25,25.799999,26.299999,25.799999,26.150000,26.150000,181800
2018-09-26,26.150000,26.150000,25.650000,25.799999,25.799999,442600
2018-09-27,25.799999,26.049999,25.350000,26.000000,26.000000,361700
2018-09-28,25.950001,26.400000,25.900000,25.950001,25.950001,319900
2018-10-01,26.190001,26.240000,25.030001,25.120001,25.120001,345300
2018-10-02,25.010000,25.139999,24.250000,24.360001,24.360001,361900
2018-10-03,24.450001,24.790001,24.139999,24.299999,24.299999,357400
2018-10-04,24.129999,24.150000,23.500000,23.580000,23.580000,378700
2018-10-05,23.590000,23.900000,22.900000,23.580000,23.580000,568400
2018-10-08,23.639999,24.059999,22.680000,23.209999,23.209999,415300
2018-10-09,23.080000,23.850000,23.080000,23.410000,23.410000,450300
2018-10-10,22.860001,22.879999,21.559999,21.850000,21.850000,814900
2018-10-11,21.620001,22.309999,21.120001,21.360001,21.360001,579800
2018-10-12,21.750000,22.250000,21.580000,21.870001,21.870001,332100
2018-10-15,21.660000,21.830000,21.190001,21.500000,21.500000,282100
2018-10-16,21.760000,22.480000,21.600000,22.270000,22.270000,419100
2018-10-17,22.200001,22.250000,21.690001,22.129999,22.129999,397500
2018-10-18,21.940001,22.070000,21.250000,21.610001,21.610001,448400
2018-10-19,21.660000,21.690001,20.610001,20.639999,20.639999,546200
2018-10-22,20.840000,21.360001,20.830000,21.190001,21.190001,375600
2018-10-23,20.830000,21.250000,20.240000,21.100000,21.100000,291100
2018-10-24,21.120001,21.450001,20.379999,20.410000,20.410000,462200
2018-10-25,21.090000,21.530001,20.860001,21.200001,21.200001,436000
2018-10-26,20.629999,21.510000,20.410000,20.969999,20.969999,387600
2018-10-29,21.510000,21.809999,20.639999,21.049999,21.049999,577700
2018-10-30,21.059999,22.129999,20.879999,22.100000,22.100000,484100
2018-10-31,22.400000,22.910000,22.330000,22.600000,22.600000,457700
2018-11-01,22.549999,23.230000,22.290001,23.030001,23.030001,432300
2018-11-02,23.049999,23.600000,23.049999,23.379999,23.379999,446900
2018-11-05,23.320000,23.320000,21.570000,22.040001,22.040001,739800
2018-11-06,21.719999,22.280001,21.540001,21.620001,21.620001,317500
2018-11-07,21.799999,23.049999,21.750000,22.770000,22.770000,400500
2018-11-08,23.049999,23.520000,22.730000,23.230000,23.230000,386900
2018-11-09,22.030001,22.670000,20.500000,21.059999,21.059999,1175600
2018-11-12,21.120001,21.150000,19.629999,20.360001,20.360001,1026200
2018-11-13,20.530001,20.620001,19.889999,20.260000,20.260000,729900
2018-11-14,20.400000,20.770000,19.959999,19.980000,19.980000,546600
2018-11-15,20.090000,20.430000,19.629999,20.280001,20.280001,643800
2018-11-16,20.059999,20.400000,19.900000,20.240000,20.240000,743100
2018-11-19,20.110001,20.190001,19.040001,19.240000,19.240000,643600
2018-11-20,18.830000,19.000000,18.040001,18.150000,18.150000,842600
2018-11-21,18.160000,18.750000,17.969999,18.309999,18.309999,978200
2018-11-23,18.110001,18.500000,16.980000,18.280001,18.280001,396600
2018-11-26,18.490000,18.620001,18.070000,18.350000,18.350000,1208500
2018-11-27,18.350000,18.549999,17.969999,18.000000,18.000000,493800
2018-11-28,18.230000,18.830000,18.200001,18.760000,18.760000,745400
2018-11-29,18.549999,19.030001,18.490000,18.780001,18.780001,442600
2018-11-30,18.799999,19.260000,18.650000,18.870001,18.870001,411600
2018-12-03,19.230000,19.270000,18.520000,18.879999,18.879999,439100
2018-12-04,18.750000,18.900000,18.420000,18.510000,18.510000,442300
2018-12-06,18.549999,19.790001,18.420000,19.629999,19.629999,688700
2018-12-07,19.559999,19.700001,18.760000,18.969999,18.969999,440500
2018-12-10,18.969999,19.469999,18.959999,19.360001,19.360001,352700
2018-12-11,19.770000,19.780001,18.950001,19.280001,19.280001,265100
2018-12-12,19.620001,20.290001,19.549999,19.969999,19.969999,304100
2018-12-13,19.969999,20.240000,19.680000,19.950001,19.950001,306200
2018-12-14,19.660000,19.950001,19.160000,19.200001,19.200001,285400
2018-12-17,18.930000,19.080000,18.469999,18.639999,18.639999,609200
2018-12-18,18.879999,19.139999,18.650000,18.889999,18.889999,251500
2018-12-19,18.820000,19.500000,18.719999,18.980000,18.980000,496100
2018-12-20,18.920000,19.080000,18.090000,18.559999,18.559999,339200
2018-12-21,18.780001,18.780001,17.410000,17.570000,17.570000,1018100
2018-12-24,17.379999,17.570000,17.160000,17.170000,17.170000,254300
2018-12-26,17.610001,18.459999,17.200001,18.420000,18.420000,349000
2018-12-27,17.870001,18.820000,17.850000,18.820000,18.820000,401100
2018-12-28,18.920000,19.219999,18.490000,18.629999,18.629999,349800
2018-12-31,18.980000,18.990000,18.510000,18.860001,18.860001,410200
2019-01-02,18.500000,18.690001,18.270000,18.629999,18.629999,447300
2019-01-03,18.049999,18.379999,17.780001,18.040001,18.040001,455300
2019-01-04,18.299999,19.410000,18.209999,19.139999,19.139999,457700
2019-01-07,19.129999,19.760000,19.030001,19.709999,19.709999,312200
2019-01-08,19.969999,20.219999,19.700001,20.139999,20.139999,531500
2019-01-09,20.240000,20.299999,19.690001,19.930000,19.930000,228100
2019-01-10,19.740000,20.030001,19.570000,20.030001,20.030001,221300
2019-01-11,19.940001,20.049999,19.590000,19.969999,19.969999,187300
2019-01-14,19.629999,19.700001,19.129999,19.270000,19.270000,265000
2019-01-15,19.280001,19.969999,19.280001,19.879999,19.879999,316500
2019-01-16,19.950001,20.040001,19.570000,19.600000,19.600000,194200
2019-01-17,19.559999,19.990000,19.520000,19.889999,19.889999,327600
2019-01-18,19.940001,20.730000,19.770000,20.520000,20.520000,445900
