Date,Open,High,Low,Close,Adj Close,Volume
2018-08-24,147.649994,151.720001,147.500000,151.000000,151.000000,1875100
2018-08-27,151.550003,152.800003,149.690002,151.679993,151.679993,1292100
2018-08-28,152.000000,153.220001,150.910004,152.259995,152.259995,2610400
2018-08-29,152.979996,154.580002,152.279999,153.779999,153.779999,1754500
2018-08-30,154.000000,155.809998,152.880005,153.809998,153.809998,1595100
2018-08-31,152.889999,155.350006,152.500000,154.539993,154.539993,1471900
2018-09-04,154.419998,157.119995,152.399994,156.690002,156.690002,3368900
2018-09-05,153.000000,155.470001,141.020004,142.210007,142.210007,6446300
2018-09-06,143.300003,146.240005,143.029999,144.520004,144.520004,2438000
2018-09-07,144.000000,147.429993,142.139999,144.929993,144.929993,2405100
2018-09-10,145.190002,145.259995,141.410004,143.660004,143.660004,1817500
2018-09-11,143.800003,147.800003,143.259995,146.149994,146.149994,1737000
2018-09-12,147.000000,148.419998,144.149994,148.210007,148.210007,1551200
2018-09-13,148.960007,152.179993,148.779999,150.539993,150.539993,1648000
2018-09-14,151.789993,153.080002,150.470001,151.070007,151.070007,827100
2018-09-17,151.470001,151.470001,144.539993,144.729996,144.729996,1828000
2018-09-18,145.000000,147.360001,143.309998,143.679993,143.679993,1743600
2018-09-19,143.199997,143.770004,138.399994,140.660004,140.660004,2006600
2018-09-20,140.839996,142.380005,139.520004,141.660004,141.660004,1244000
2018-09-21,141.759995,142.789993,138.479996,138.630005,138.630005,1819100
2018-09-24,137.649994,141.639999,135.830002,141.500000,141.500000,1463000
2018-09-25,142.000000,144.820007,141.250000,143.789993,143.789993,1557000
2018-09-26,143.779999,145.710007,142.789993,144.509995,144.509995,1429800
2018-09-27,145.250000,147.300003,145.020004,145.970001,145.970001,1054000
2018-09-28,145.929993,147.190002,144.490005,145.979996,145.979996,1122600
2018-10-01,147.190002,148.389999,145.520004,145.869995,145.869995,1614600
2018-10-02,145.500000,145.649994,141.809998,142.899994,142.899994,1481800
2018-10-03,144.630005,147.479996,143.380005,145.660004,145.660004,1513500
2018-10-04,144.449997,145.610001,137.899994,139.759995,139.759995,1808900
2018-10-05,139.759995,142.000000,135.830002,139.970001,139.970001,1430500
2018-10-08,138.429993,138.779999,130.580002,132.419998,132.419998,3009700
2018-10-09,131.550003,134.270004,129.789993,131.669998,131.669998,2919800
2018-10-10,131.259995,131.320007,122.889999,124.300003,124.300003,4187100
2018-10-11,124.050003,127.279999,121.779999,124.750000,124.750000,2748700
2018-10-12,127.330002,130.350006,125.010002,128.309998,128.309998,2083900
2018-10-15,127.510002,128.550003,125.220001,127.000000,127.000000,2207400
2018-10-16,130.369995,134.610001,129.179993,134.190002,134.190002,2185500
2018-10-17,138.149994,139.119995,134.539993,137.250000,137.250000,2491200
2018-10-18,136.190002,136.770004,129.179993,130.429993,130.429993,2142600
2018-10-19,131.779999,132.539993,126.889999,127.699997,127.699997,1855700
2018-10-22,128.369995,130.179993,125.830002,129.720001,129.720001,1633100
2018-10-23,126.800003,130.309998,126.300003,128.779999,128.779999,1664400
2018-10-24,128.889999,130.419998,122.019997,122.110001,122.110001,1890900
2018-10-25,124.000000,126.800003,122.680000,125.839996,125.839996,1413100
2018-10-26,122.510002,125.070000,118.620003,120.650002,120.650002,2785200
2018-10-29,126.000000,128.740005,120.070000,122.750000,122.750000,2605100
2018-10-30,122.110001,129.750000,121.029999,128.020004,128.020004,2843600
2018-10-31,130.809998,134.309998,130.009995,133.020004,133.020004,1870900
2018-11-01,133.550003,137.990005,132.110001,137.889999,137.889999,2131400
2018-11-02,138.000000,140.399994,132.570007,132.839996,132.839996,2517600
2018-11-05,132.850006,133.360001,128.380005,130.320007,130.320007,1949200
2018-11-06,131.500000,136.039993,131.039993,134.979996,134.979996,1707800
2018-11-07,137.000000,145.179993,136.610001,144.240005,144.240005,2952900
2018-11-08,144.229996,146.880005,142.369995,145.990005,145.990005,1629100
2018-11-09,143.699997,144.990005,138.229996,139.929993,139.929993,1832600
2018-11-12,138.589996,139.679993,131.860001,133.100006,133.100006,2601200
2018-11-13,133.550003,136.839996,131.750000,135.059998,135.059998,1627900
2018-11-14,136.210007,139.080002,131.910004,132.389999,132.389999,1743100
2018-11-15,131.860001,136.289993,130.729996,136.179993,136.179993,1814800
2018-11-16,134.399994,136.419998,132.520004,134.229996,134.229996,1360700
2018-11-19,133.550003,133.970001,123.699997,124.070000,124.070000,2752200
2018-11-20,119.730003,128.600006,117.720001,126.809998,126.809998,2973200
2018-11-21,129.979996,134.059998,128.690002,133.100006,133.100006,1730500
2018-11-23,130.869995,135.869995,130.210007,135.259995,135.259995,646000
2018-11-26,138.419998,141.149994,136.119995,140.229996,140.229996,2123000
2018-11-27,137.839996,140.479996,136.610001,138.750000,138.750000,1692100
2018-11-28,145.000000,147.440002,140.809998,145.830002,145.830002,3192100
2018-11-29,143.369995,146.580002,143.110001,145.300003,145.300003,3428900
2018-11-30,155.149994,166.360001,152.009995,164.000000,164.000000,9634400
2018-12-03,164.490005,167.880005,162.080002,167.800003,167.800003,4177300
2018-12-04,165.229996,172.669998,164.210007,165.020004,165.020004,4779200
2018-12-06,160.210007,169.490005,158.110001,168.130005,168.130005,4337600
2018-12-07,166.970001,167.330002,158.850006,160.429993,160.429993,4003000
2018-12-10,159.880005,164.979996,158.000000,159.679993,159.679993,2684100
2018-12-11,164.320007,165.419998,161.520004,162.940002,162.940002,2415100
2018-12-12,167.050003,170.470001,165.070007,165.520004,165.520004,3222000
2018-12-13,166.570007,167.190002,161.410004,164.649994,164.649994,1689600
